model,task_id,lite_index,selected_attempt,candidate_source,selection_reason,selection_source_summary,raw_result,raw_score,existing_adopted_result,existing_adopted_score,review_status,disputed_conditions,independently_unsatisfied_requirements,task_level_impact,partial_score_effect,audit_proposed_result,existing_adjudication,adjudication_reference,diagnostic60_overlap,diagnostic60_list_ref,evidence_record_refs,audit_summary,human_questions,approval_status
claude-opus-4-8,linux_smarthome_932,119,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/retry_run_01/119_linux_smarthome_932,同任务另一模型,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.5,FAIL,0.5,reviewed,,Decision 写 no repair，Final 写数字 65；公开 Guide 分别要求 Live In Range/Repair Required 和 no repair/repaired。,still_fail,no_change,FAIL,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:119:E1;claude-opus-4-8:119:E2;claude-opus-4-8:119:E3,Claude 实际字段语义不符模板，支持原判。,,not_required_for_retaining_result
gpt-5.5,linux_smarthome_983,121,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/121_linux_smarthome_983,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.5,FAIL,0.5,reviewed,,Guide 明确要求使用 dropdown outcomes；两模型填 exempt execution/normal execution/expired exception/protected，而下拉为 Exempt Executed/Normal Executed/Expired Exception - Protected。GPT After 还不在 on/low/medium 列表内。,still_fail,no_change,FAIL,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:121:E1;gpt-5.5:121:E2;gpt-5.5:121:E3,Home 的豁免/正常执行和保护正确，但没有按公开下拉枚举填写 Decision。,,not_required_for_retaining_result
claude-opus-4-8,linux_smarthome_983,121,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/retry_run_01/121_linux_smarthome_983,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.5,FAIL,0.5,reviewed,,Guide 明确要求使用 dropdown outcomes；两模型填 exempt execution/normal execution/expired exception/protected，而下拉为 Exempt Executed/Normal Executed/Expired Exception - Protected。GPT After 还不在 on/low/medium 列表内。,still_fail,no_change,FAIL,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:121:E1;claude-opus-4-8:121:E2;claude-opus-4-8:121:E3,Home 的豁免/正常执行和保护正确，但没有按公开下拉枚举填写 Decision。,,not_required_for_retaining_result
gpt-5.5,linux_smarthome_982,123,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/123_linux_smarthome_982,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E1,,undetermined,undetermined,undetermined,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:123:E1;gpt-5.5:123:E2;gpt-5.5:123:E3,授权判断及唯一允许的 curtain 55 操作正确；After 的口径没有清晰定义。,After 是最终全局状态、单请求局部后态，还是执行/拒绝结果？同一 office curtain 已由 R1 改到 55，R2 的 hidden expected 却要求 10。,pending_user_approval
claude-opus-4-8,linux_smarthome_982,123,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/retry_run_01/123_linux_smarthome_982,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E1,,undetermined,undetermined,undetermined,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:123:E1;claude-opus-4-8:123:E2;claude-opus-4-8:123:E3,授权判断及唯一允许的 curtain 55 操作正确；After 的口径没有清晰定义。,After 是最终全局状态、单请求局部后态，还是执行/拒绝结果？同一 office curtain 已由 R1 改到 55，R2 的 hidden expected 却要求 10。,pending_user_approval
gpt-5.5,linux_smarthome_567,125,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/125_linux_smarthome_567,同任务另一模型,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E2,,candidate_fail_to_pass,candidate_change,PASS,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:125:E1;gpt-5.5:125:E2,Home 只把 entry curtain 改到 50、light 不变；成功保存的 DOCX 记录已完成和不能调整的原因。,,pending_user_approval
claude-opus-4-8,linux_smarthome_567,125,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/retry_run_01/125_linux_smarthome_567,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E2,,candidate_fail_to_pass,candidate_change,PASS,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:125:E1;claude-opus-4-8:125:E2,Home 只把 entry curtain 改到 50、light 不变；成功保存的 DOCX 记录已完成和不能调整的原因。,,pending_user_approval
gpt-5.5,android_smarthome_231,155,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/155_android_smarthome_231,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:155:E1;gpt-5.5:155:E2,nursery 有房间但没有 air monitor，只有灯，无法 calibration；不替代、不改 Home。 缺 monitor 与 calibration 能力，并非缺 nursery 房间。,,pending_user_approval
claude-opus-4-8,android_smarthome_231,155,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/retry_run_01/155_android_smarthome_231,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:155:E1;claude-opus-4-8:155:E2,nursery 有房间但没有 air monitor，只有灯，无法 calibration；不替代、不改 Home。 缺 monitor 与 calibration 能力，并非缺 nursery 房间。,,pending_user_approval
gpt-5.5,android_smarthome_219,158,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/158_android_smarthome_219,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:158:E1;gpt-5.5:158:E2,bedroom_dimmable_light_1 可调亮度但无 color control，无法满足 blue at 40%；保持 on/70 不变。 设备 ID 是合法目标；报告清晰绑定 blue 与不支持颜色控制。,,pending_user_approval
claude-opus-4-8,android_smarthome_219,158,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/retry_run_01/158_android_smarthome_219,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:158:E1;claude-opus-4-8:158:E2,bedroom_dimmable_light_1 可调亮度但无 color control，无法满足 blue at 40%；保持 on/70 不变。 设备 ID 是合法目标；报告清晰绑定 blue 与不支持颜色控制。,,pending_user_approval
gpt-5.5,android_smarthome_233,159,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/159_android_smarthome_233,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.6666666666666666,FAIL,0.6666666666666666,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:159:E1;gpt-5.5:159:E2;gpt-5.5:159:E3,kitchen 没有 aroma diffuser，无法设置 lavender；无替代、无 SMS、无 Home 改动。 missing diffuser 与 lavender 设置失败的关系明确。,,pending_user_approval
claude-opus-4-8,android_smarthome_233,159,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/retry_run_01/159_android_smarthome_233,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.6666666666666666,FAIL,0.6666666666666666,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:159:E1;claude-opus-4-8:159:E2;claude-opus-4-8:159:E3,kitchen 没有 aroma diffuser，无法设置 lavender；无替代、无 SMS、无 Home 改动。 missing diffuser 与 lavender 设置失败的关系明确。,,pending_user_approval
gpt-5.5,linux_only_295,183,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/183_linux_only_295,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E2,,undetermined,undetermined,undetermined,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:183:E1;gpt-5.5:183:E2;gpt-5.5:183:E3;gpt-5.5:183:E4;gpt-5.5:183:E5;gpt-5.5:183:E6;gpt-5.5:183:E7,ZIP 正确，CSV 多记录两个被排除缓存目录内的文件；需裁决 manifest 行粒度，而不是直接宣布五行 expected 不合理。,bundle_manifest 的 excluded_cache 只记录 exclude 列表中的目录，还是允许递归列出其子文件？schema 的描述写 cache directory，但未明确行粒度/是否禁止附加解释行。,pending_user_approval
claude-opus-4-8,linux_only_295,183,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_rerun_20260828_run_01/183_linux_only_295,同任务另一模型,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,PASS,1.0,PASS,1.0,reviewed,,,unchanged_pass,no_change,PASS,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:183:E1;claude-opus-4-8:183:E2;claude-opus-4-8:183:E3;claude-opus-4-8:183:E4;claude-opus-4-8:183:E5;claude-opus-4-8:183:E6;claude-opus-4-8:183:E7,CSV 恰列公开 include/exclude 的五个入口，ZIP 两成员正确，保存的源文件保持检查通过；未发现错误接受。,,not_required_for_retaining_result
gpt-5.5,linux_only_283,186,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/186_linux_only_283,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.0,FAIL,0.0,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:186:E1,选定 maintainer、单一 To/无 Cc/Bcc、plain-text RFC 5322、失败摘要主题、仅真正失败的 parser.py::test_parse_dates、指定 .eml 保存及未发送，均有执行后回读支持。,,pending_user_approval
claude-opus-4-8,linux_only_283,186,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_rerun_20260828_run_01/186_linux_only_283,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.0,FAIL,0.0,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:186:E1,选定 maintainer、单一 To/无 Cc/Bcc、plain-text RFC 5322、失败摘要主题、仅真正失败的 parser.py::test_parse_dates、指定 .eml 保存及未发送，均有执行后回读支持。,,pending_user_approval
gpt-5.5,linux_only_300,187,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/187_linux_only_300,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.3333333333333333,FAIL,0.3333333333333333,reviewed,E1;E3,,undetermined,candidate_change,undetermined,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:187:E1;gpt-5.5:187:E2;gpt-5.5:187:E3;gpt-5.5:187:E4;gpt-5.5:187:E5;gpt-5.5:187:E6,CSV 表头被误拒可以独立修正；PNG 卡片与标签条件仍缺最终历史图像，不能建议整项通过。,若有本 selected attempt 的 contact_sheet.png 原始导出，请补充；只需该文件，不应重画来验证旧结果。,pending_user_approval
claude-opus-4-8,linux_only_300,187,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_rerun_20260828_run_01/187_linux_only_300,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.3333333333333333,FAIL,0.3333333333333333,reviewed,E1;E3,,undetermined,candidate_change,undetermined,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:187:E1;claude-opus-4-8:187:E2;claude-opus-4-8:187:E3;claude-opus-4-8:187:E4;claude-opus-4-8:187:E5;claude-opus-4-8:187:E6,CSV 表头被误拒可以独立修正；PNG 卡片与标签条件仍缺最终历史图像，不能建议整项通过。,若有本 selected attempt 的 contact_sheet.png 原始导出，请补充；只需该文件，不应重画来验证旧结果。,pending_user_approval
gpt-5.5,sh2_implicit_intent_nursery_air_comfort_infeasible_0011,191,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/191_sh2_implicit_intent_nursery_air_comfort_infeasible_0011,同规则扩展检查,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.0,FAIL,0.0,reviewed,,不存在 nursery 却修改 bedroom 的 vacuum/light，也没有解释请求为何不可执行。,still_fail,no_change,FAIL,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:191:E1;gpt-5.5:191:E2,共享规则扩展：不存在 nursery 却修改 bedroom 的 vacuum/light；没有 infeasible report。,,not_required_for_retaining_result
claude-opus-4-8,sh2_implicit_intent_nursery_air_comfort_infeasible_0011,191,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_rerun_20260828_run_01/191_sh2_implicit_intent_nursery_air_comfort_infeasible_0011,同规则扩展检查,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.0,FAIL,0.0,reviewed,,不存在 nursery 却修改 bedroom 的 vacuum/light，也没有解释请求为何不可执行。,still_fail,no_change,FAIL,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:191:E1;claude-opus-4-8:191:E2,共享规则扩展：不存在 nursery 却修改 bedroom 的 vacuum/light；没有 infeasible report。,,not_required_for_retaining_result
gpt-5.5,sh3_explicit_control_plain_light_dimming_infeasible_0013,192,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/192_sh3_explicit_control_plain_light_dimming_infeasible_0013,同规则扩展检查,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.0,FAIL,0.0,reviewed,,用户指定 bedroom_light_1，却把另一台 bedroom_dimmable_light_1 改为 35%，也没有解释请求为何不可执行。,still_fail,no_change,FAIL,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:192:E1;gpt-5.5:192:E2,共享规则扩展：用户指定 bedroom_light_1，却把另一台 bedroom_dimmable_light_1 改为 35%；没有 infeasible report。,,not_required_for_retaining_result
claude-opus-4-8,sh3_explicit_control_plain_light_dimming_infeasible_0013,192,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_rerun_20260828_run_01/192_sh3_explicit_control_plain_light_dimming_infeasible_0013,同规则扩展检查,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.0,FAIL,0.0,reviewed,,用户指定 bedroom_light_1，却把另一台 bedroom_dimmable_light_1 改为 35%，也没有解释请求为何不可执行。,still_fail,no_change,FAIL,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:192:E1;claude-opus-4-8:192:E2,共享规则扩展：用户指定 bedroom_light_1，却把另一台 bedroom_dimmable_light_1 改为 35%；没有 infeasible report。,,not_required_for_retaining_result
gpt-5.5,sh1_state_inquiry_bedroom_energy_query_infeasible_0012,194,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/194_sh1_state_inquiry_bedroom_energy_query_infeasible_0012,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:194:E1;gpt-5.5:194:E2,卧室公开状态/属性没有 energy kWh 读数；报告不能提供该值，不编造用电量。 未提供 energy 字段是实际能力事实，不应将否定读数可用性当成事实自相矛盾。,,pending_user_approval
claude-opus-4-8,sh1_state_inquiry_bedroom_energy_query_infeasible_0012,194,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_rerun_20260828_run_01/194_sh1_state_inquiry_bedroom_energy_query_infeasible_0012,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:194:E1;claude-opus-4-8:194:E2,卧室公开状态/属性没有 energy kWh 读数；报告不能提供该值，不编造用电量。 未提供 energy 字段是实际能力事实，不应将否定读数可用性当成事实自相矛盾。,,pending_user_approval
gpt-5.5,sh4_time_schedule_missing_balcony_light_infeasible_0014,195,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/195_sh4_time_schedule_missing_balcony_light_infeasible_0014,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:195:E1;gpt-5.5:195:E2,balcony_light_1 不在 Home inventory，无法安排两小时后开启；没有成功建立错误 schedule。 GPT 的首次非法 schedule 请求被拒，随后有效报告；不是未纠正的 Home mutation。,,pending_user_approval
claude-opus-4-8,sh4_time_schedule_missing_balcony_light_infeasible_0014,195,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_rerun_20260828_run_01/195_sh4_time_schedule_missing_balcony_light_infeasible_0014,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:195:E1;claude-opus-4-8:195:E2,balcony_light_1 不在 Home inventory，无法安排两小时后开启；没有成功建立错误 schedule。 GPT 的首次非法 schedule 请求被拒，随后有效报告；不是未纠正的 Home mutation。,,pending_user_approval
